Vaccine 5G_unscaled,Vaccine 5G_monthly,isPartial,scale,Vaccine 5G,plandemic_unscaled,plandemic_monthly,isPartial,scale,plandemic,anti mask_unscaled,anti mask_monthly,isPartial,scale,anti mask,Great Reset_unscaled,Great Reset_monthly,isPartial,scale,Great Reset,Bill Gates Vaccine_unscaled,Bill Gates Vaccine_monthly,isPartial,scale,Bill Gates Vaccine
0,9.0,False,0.09,0.0,60,1.0,False,0.01,0.6,66,31.0,False,0.31,20.46,69,26.0,False,0.26,17.94,45,19.0,False,0.19,8.55
0,9.0,,0.09,0.0,73,1.0,,0.01,0.73,54,31.0,,0.31,16.74,80,26.0,,0.26,20.8,88,19.0,,0.19,16.72
0,9.0,,0.09,0.0,18,1.0,,0.01,0.18,53,31.0,,0.31,16.43,62,26.0,,0.26,16.12,53,19.0,,0.19,10.07
29,9.0,,0.09,2.61,72,1.0,,0.01,0.72,48,31.0,,0.31,14.879999999999999,72,26.0,,0.26,18.72,67,19.0,,0.19,12.73
30,9.0,,0.09,2.6999999999999997,36,1.0,,0.01,0.36,70,31.0,,0.31,21.7,74,26.0,,0.26,19.240000000000002,81,19.0,,0.19,15.39
0,9.0,,0.09,0.0,37,1.0,,0.01,0.37,66,31.0,,0.31,20.46,83,26.0,,0.26,21.580000000000002,62,19.0,,0.19,11.78
33,9.0,,0.09,2.9699999999999998,20,1.0,,0.01,0.2,36,31.0,,0.31,11.16,85,26.0,,0.26,22.1,68,19.0,,0.19,12.92
0,27.0,False,0.27,0.0,20,0.0,False,0.0,0.0,60,35.0,False,0.35,21.0,71,21.0,False,0.21,14.91,67,22.0,False,0.22,14.74
85,27.0,,0.27,22.950000000000003,34,0.0,,0.0,0.0,67,35.0,,0.35,23.45,42,21.0,,0.21,8.82,32,22.0,,0.22,7.04
59,27.0,,0.27,15.930000000000001,18,0.0,,0.0,0.0,59,35.0,,0.35,20.65,49,21.0,,0.21,10.29,60,22.0,,0.22,13.2
57,27.0,,0.27,15.39,53,0.0,,0.0,0.0,89,35.0,,0.35,31.15,37,21.0,,0.21,7.77,39,22.0,,0.22,8.58
58,27.0,,0.27,15.66,36,0.0,,0.0,0.0,69,35.0,,0.35,24.15,58,21.0,,0.21,12.18,73,22.0,,0.22,16.06
